Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
President and Fellows of Harvard College,HARVRD,5.625,10/1/2038,3.7077732,3.7077732,AT MATURITY,243000000,USD,US,1/23/2008,FIXED,AAA,#N/A N/A
XTO Energy Inc,XOM,6.5,12/15/2018,1.4886484,1.4886484,AT MATURITY,1000000000,USD,US,8/4/2008,FIXED,AAA,Aaa
Northwestern University,NWUNI,3.688,12/1/2038,3.4658788972,3.452466029,SINKABLE,250000000,USD,US,4/27/2015,FIXED,AAA,#N/A N/A
Metropolitan Museum of Art/The,METART,3.4,7/1/2045,3.8200664,3.8200664,AT MATURITY,250000000,USD,US,1/26/2015,FIXED,AAA,#N/A N/A
Johnson & Johnson,JNJ,3.55,5/15/2021,1.6206147,1.6206147,AT MATURITY,450000000,USD,US,5/17/2011,FIXED,AAA,Aaa
AEP Texas Central Transition Funding II LLC,AEP,5.17,1/1/2018,2.4409832077,0.7574050441,SINKABLE,437000000,USD,US,10/4/2006,FIXED,AAA,Aaa
Board of Trustees of The Leland Stanford Junior University/The,STNFRD,3.563,6/1/2044,3.9252548,3.9252548,AT MATURITY,150115000,USD,US,5/1/2013,FIXED,AAA,Aaa
Massachusetts Institute of Technology,MASSIN,3.959,7/1/2038,3.767882961,3.7622913634,SINKABLE,370000000,USD,US,9/22/2014,FIXED,AAA,Aaa
XTO Energy Inc,XOM,6.1,4/1/2036,4.2165275,4.2165275,AT MATURITY,600000000,USD,US,3/23/2006,FIXED,AAA,Aaa
XTO Energy Inc,XOM,5.65,4/1/2016,1.1912839349,1.1912839349,AT MATURITY,400000000,USD,US,3/23/2006,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,3.892,12/1/2042,4.269532569,4.3112927783,SINKABLE,7825000,USD,US,12/13/2012,FIXED,AAA,#N/A N/A
Johnson & Johnson,JNJ,6.73,11/15/2023,2.786758,2.786758,AT MATURITY,250000000,USD,US,11/16/1993,FIXED,AAA,Aaa
Northwestern University,NWUNI,4.198,12/1/2047,3.7983578896,3.7709365296,SINKABLE,200000000,USD,US,3/21/2012,FIXED,AAA,Aaa
William Marsh Rice University,RICEUN,3.774,5/15/2055,3.9236176795,3.9270631618,SINKABLE,340000000,USD,US,4/15/2015,FIXED,AAA,Aaa
XTO Energy Inc,XOM,6.75,8/1/2037,3.9230729,3.9230729,AT MATURITY,1450000000,USD,US,7/12/2007,FIXED,AAA,Aaa
XTO Energy Inc,XOM,6.375,6/15/2038,4.1984977,4.1984977,AT MATURITY,800000000,USD,US,4/15/2008,FIXED,AAA,Aaa
AEP Texas Central Transition Funding II LLC,AEP,5.3063,7/1/2020,2.248705502,1.4037416059,SINKABLE,494700000,USD,US,10/4/2006,FIXED,AAA,Aaa
Smithsonian Institution,SMITHI,3.434,9/1/2023,2.4197799,2.4197799,AT MATURITY,50000000,USD,US,11/7/2013,FIXED,AAA,#N/A N/A
President and Fellows of Harvard College,HARVRD,6.5,1/15/2039,3.712935,3.712935,AT MATURITY,500000000,USD,US,12/5/2008,FIXED,AAA,Aaa
Northwestern University,NWUNI,3.868,12/1/2048,3.8619943698,3.8618698689,SINKABLE,250000000,USD,US,4/27/2015,FIXED,AAA,#N/A N/A
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,2.437,12/1/2021,3.1946061,3.1946061,AT MATURITY,435000,USD,US,12/13/2012,FIXED,AAA,Aaa
Massachusetts Institute of Technology,MASSIN,7.25,11/2/2096,4.5925324087,4.5925324087,AT MATURITY,75000000,USD,US,10/31/1996,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,3.012,12/1/2024,2.898477,2.898477,AT MATURITY,370000,USD,US,11/12/2015,FIXED,AAA,#N/A N/A
President and Fellows of Harvard College,HARVRD,6,1/15/2019,1.3529994,1.3529994,AT MATURITY,500000000,USD,US,12/5/2008,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,4.294,12/1/2040,4.2037859699,4.1993917193,SINKABLE,3205000,USD,US,11/12/2015,FIXED,AAA,#N/A N/A
Board of Trustees of The Leland Stanford Junior University/The,STNFRD,4.013,5/1/2042,3.5839953,3.5839953,AT MATURITY,143235000,USD,US,4/3/2012,FIXED,AAA,Aaa
President and Fellows of Harvard College,HARVRD,3.529,10/1/2031,3.4155364,3.4155364,AT MATURITY,100000000,USD,US,4/29/2013,FIXED,AAA,#N/A N/A
William Marsh Rice University,RICEUN,4.626,5/15/2063,#N/A N/A,#N/A N/A,SINKABLE,113985000,USD,US,6/12/2013,FIXED,AAA,Aaa
Northwestern University,NWUNI,2.333,12/1/2019,1.7668268,1.7668268,AT MATURITY,5085000,USD,US,10/21/2013,FIXED,AAA,Aaa
Board of Trustees of The Leland Stanford Junior University/The,STNFRD,6.875,2/1/2024,2.8806717,2.8806717,AT MATURITY,150000000,USD,US,2/16/1994,FIXED,AAA,#N/A N/A
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,4.244,12/1/2035,4.1191190099,4.1102779401,SINKABLE,2585000,USD,US,11/12/2015,FIXED,AAA,#N/A N/A
Northwestern University,NWUNI,0.917,12/1/2016,0.8594332,0.8594332,AT MATURITY,4715000,USD,US,10/21/2013,FIXED,AAA,Aaa
Henry J Kaiser Family Foundation/CA,KFFORG,3.356,12/1/2025,#N/A N/A,#N/A N/A,AT MATURITY,65000000,USD,US,6/18/2015,FIXED,AAA,#N/A N/A
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,1.167,12/1/2017,1.4452228,1.4452228,AT MATURITY,315000,USD,US,11/12/2015,FIXED,AAA,#N/A N/A
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,2.987,12/1/2024,3.3429831,3.3429831,AT MATURITY,475000,USD,US,12/13/2012,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,2.153,12/1/2020,2.0432775,2.0432775,AT MATURITY,330000,USD,US,11/12/2015,FIXED,AAA,#N/A N/A
MP Environmental Funding LLC,FE,5.2325,7/15/2019,3.683372454,2.5304752203,SINKABLE,76000000,USD,US,4/3/2007,FIXED,AAA,Aaa
Princeton Theological Seminary,PRISEM,3.383,7/1/2020,2.0689458,2.0689458,AT MATURITY,1750000,USD,US,9/26/2013,FIXED,AAA,Aa1
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,3.662,12/1/2030,3.4763133634,3.4548047687,SINKABLE,2125000,USD,US,11/12/2015,FIXED,AAA,#N/A N/A
Massachusetts Institute of Technology,MASSIN,3.308,7/1/2026,2.9179235,2.9179235,AT MATURITY,86000000,USD,US,9/22/2014,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,1.523,12/1/2018,1.5680692,1.5680692,AT MATURITY,320000,USD,US,11/12/2015,FIXED,AAA,#N/A N/A
Massachusetts Institute of Technology,MASSIN,2.051,7/1/2019,1.8440216,1.8440216,AT MATURITY,66410000,USD,US,9/22/2014,FIXED,AAA,Aaa
PE Environmental Funding LLC,FE,5.2325,7/15/2019,3.7770343096,2.7087106617,SINKABLE,25700000,USD,US,4/3/2007,FIXED,AAA,Aaa
MP Environmental Funding LLC,FE,5.4625,7/15/2026,#N/A N/A,#N/A N/A,SINKABLE,153250000,USD,US,4/3/2007,FIXED,AAA,Aaa
Northwestern University,NWUNI,1.47,12/1/2017,1.2811754,1.2811754,AT MATURITY,4770000,USD,US,10/21/2013,FIXED,AAA,Aaa
Institute for Advanced Study-Louis Bamberger & Mrs Felix Fuld Foundation,IASLFF,3.162,12/1/2025,2.9587833,2.9587833,AT MATURITY,380000,USD,US,11/12/2015,FIXED,AAA,#N/A N/A
Princeton Theological Seminary,PRISEM,5.2,7/1/2033,4.6305852522,4.5885240512,SINKABLE,41090000,USD,US,9/26/2013,FIXED,AAA,Aa1
William Marsh Rice University,RICEUN,0.5,5/15/2016,0.4067746491,0.4067746491,AT MATURITY,20000000,USD,US,4/15/2015,FIXED,AAA,Aaa
MP Environmental Funding LLC,FE,5.5225,7/15/2027,#N/A N/A,#N/A N/A,SINKABLE,29025000,USD,US,4/3/2007,FIXED,AAA,Aaa
